station_id,station_name,new_station_name,region,province,city,barangay,date_established,date_last_updated,island_group,latitude_degrees,latitude_minutes,latitude_seconds,longitude_degrees,longitude_minutes,longitude_seconds,horizontal_coords_source,horizontal_date_entry,horizontal_datum,horizontal_reference,elevation_horizontal_datum,horizontal_authority,horizontal_order,horizontal_date_computed,horizontal_fix,elevation,ellipsoidal_height,elevation_date_entry,elevation_datum,elevation_established_datum,elevation_authority,elevation_order,elevation_date_computed,elevation_fix,mark_status,mark_type,mark_const,authority,wgs84ND,wgs84NM,wgs84NS,wgs84ED,wgs84EM,wgs84ES,ellipz,image,inscription,description,encoder,ucode,latitude,longitude,date_updated,bm_plus,accuracy_class,lon,lat,elevation_alt,latitude_decimal,longitude_decimal,status_tag,epoch
,MM-598,0,NCR,"NCR - MANILA, FIRST DISTRICT",TONDO,BARANGAY 223,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,1.888,0,01/03/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-598 is in the Province of Metro Manila, City of Manila, District of Tondo, Brgy. 223 Zone-21 along Jose Abad Santos Avenue. The station is located on the top of a concrete foundation of a lamp post, 0.60 cm above ground level and about 4 meters from Jusbest Enterprises. Mark is the head of a 4"" copper nail set flush on a 15x15 cm cement putty with inscriptions ""MM-598, 2013, NAMRIA"".",Dexter Alamar,76875,14.6203611111111,120.977694444444,11/10/2022 9:01:21 AM,0.023596,2 CM,120 58 39.70,14 37 13.30,0,,,0,
,MM-599,0,NCR,"NCR - MANILA, FIRST DISTRICT",TONDO,BARANGAY 226,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,1.5906,0,01/03/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-599 is in the Province of Metro Manila, City of Manila, District of Tondo, Brgy. 226 Zone-21 along Jose Abad Santos Avenue. The station is located on the top of the concrete foundation of a streetlight , 0.50 meters above ground level and 1.50 meters from the Meralco concrete post. It is also 3 meters from A.P. Oriental Industrial Trading, 15 meters from the centerline of Tayuman St. and 10 meters from the centerline of Jose Abad Santos Avenue. Mark is the head of a 4"" copper nail set flush on a 15x15 cm cement putty with inscriptions ""MM-599, 2013, NAMRIA"".",Edil,76876,14.6169444444444,120.977444444444,07/04/2022 2:21:43 PM,0.022505,2 CM,120 58 38.80,14 37 1.00,0,,,0,
,MM-600,0,NCR,"NCR - MANILA, FIRST DISTRICT",TONDO,,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,2.8942,0,01/03/2014,1,,,2,01/08/2016,1,5,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-600 is in the Province of Metro Manila, City of Manila, District of Tondo, Brgy. Magsaysay along Road-10. The station is located at the top of the concrete island beside the post of foot bridge and 40 meters from Capulong junction. Mark is the head of a 4"" copper nail set flush on a 15x15 cm cement putty with inscriptions ""MM-600, 2013, NAMRIA"". Note: Reported Lost by Geodesy Division on September 2023",Vanessa,76877,14.62,120.959861111111,01/09/2024 9:38:01 AM,0.022402,2 CM,120 57 35.50,14 37 12.00,0,,,1,
,MM-601,0,NCR,"NCR - MANILA, FIRST DISTRICT",TONDO,BARANGAY 151,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,1.3789,0,01/03/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-601 is in the Province of Metro Manila, City of Manila, District of Tondo, Brgy. 151 Zone-13 along Capulong Highway. The station is located at the top of a concrete sidewalk beside Eastern Teletech post, 1 meter from the CHB wall and 8 meters from the road centerline. It is also 50 meters from the covered court. Mark is the head of a 4"" copper nail set flush on a 15x15 cm cement putty with inscriptions ""MM-601, 2013, NAMRIA"".",Edil,76878,14.6199444444444,120.969305555556,07/04/2022 2:21:55 PM,0.023271,2 CM,120 58 9.50,14 37 11.80,0,,,0,
,MM-605,0,NCR,"NCR - MANILA, FIRST DISTRICT",PANDACAN,,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,3.2301,0,01/03/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-605 is in the Province of Metro Manila, City of Manila, District of Pandacan, Brgy. 167 along Quirino Avenue. The station is located at the top of the concrete foundation of Meralco post, 0.50 meters above the ground level and 15 meters from Shell Gas Station. It is also 3 meters from lamp post. Mark is the head of a 4"" copper nail set flush on a 15x15 cm cement putty with inscriptions ""MM-605, 2013, NAMRIA"".",Edil,76882,14.5832222222222,121.001916666667,06/30/2022 10:20:24 AM,0.032909,3 CM,121 0 6.90,14 34 59.60,0,,,0,
,MM-606,0,NCR,"NCR - MANILA, FIRST DISTRICT",MALATE,,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,2.9045,0,01/03/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-606 is in the Province of Metro Manial, City of Manila, District of Malate, Brgy. 683 Zone-74 along Quirino Avenue. The station is located at the sidewalk of the bridge, 0.50 meters from the nearest lamp post and 25 meters from the corner of General Luna Street. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-606, 2013, NAMRIA.""",Edil,76883,14.5759722222222,120.996,07/04/2022 2:22:09 PM,0.033487,3 CM,120 59 45.60,14 34 33.50,0,,,0,
,MM-608,0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,VALENCIA,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,16.1546,0,01/03/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-608 is in the Province of Metro Manila, City of Quezon, Brgy. Valencia along the Granada Street. The station is located at the top of the parapet wall of Granada Bridge at Sta. 16+750, 5.50 meters from the edge of the bridge and 9 meters from the road centerline. It is also 80 centimeters above the sidewalk. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-608, 2013, NAMRIA"".",Edil,76887,14.6093888888889,121.037361111111,07/05/2022 10:08:37 AM,0.01806,2 CM,121 2 14.50,14 36 33.80,0,,,0,
,MM-609,0,NCR,NCR - SECOND DISTRICT,SAN JUAN,GREENHILLS,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,21.8962,0,01/03/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-609 is in the Province of Metro Manila, City of San Juan, Brgy. Greenhills along Ortigas Avenue. The station is located at the top of a concrete sidewalk beside the traffic light and 1.50 meters from the Meralco post. It is also 10 meters from the road centerline and 27 meters from the entrance of BDO building. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-609, 2013, NAMRIA"".",Edil,76888,14.6033055555556,121.044611111111,07/05/2022 10:09:14 AM,0.017829,2 CM,121 2 40.60,14 36 11.90,0,,,0,
,MM-611,0,NCR,NCR - SECOND DISTRICT,SAN JUAN,TIBAGAN,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,7.8565,0,01/03/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-611 is in the Province of Metro Manila, City of San Juan, Brgy. Libagan along F. Blumentritt. The station is located at the top of the concrete foundation of a concrete Meralco post 16-1791, 30 cm above ground level and 4 m from the road centerline. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-611, 2013, NAMRIA"".",Edil,76890,14.6031388888889,121.026194444444,07/05/2022 10:09:30 AM,0.014839,1 CM,121 1 34.30,14 36 11.30,0,,,0,
,MM-612 (MMA-3138),0,NCR,NCR - SECOND DISTRICT,SAN JUAN,KABAYANAN,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,2.2518,0,01/03/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-612 (MMA-3138) is in the Province of Metro Manila, City of San Juan, Brgy. Kabayanan along F. Blumentritt corner F. Manalo. The station is located on the top of a concrete sidewalk, 40 cm from the edge of sidewalk and 3 m from 7 Eleven convenient store. It is also 4 m from the traffic light and 2.50 m from the Meralco post. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MMA-3138, 2008, LMS-NCR"".",Edil,76891,14.5956666666667,121.028138888889,07/05/2022 10:09:44 AM,0.018657,2 CM,121 1 41.30,14 35 44.40,0,,,0,
,MM-613,0,NCR,"NCR - MANILA, FIRST DISTRICT",SANTA ANA,BARANGAY 894,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,4.0659,0,01/03/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-613 is in the Province of Metro Manila, City of Manila, District of Sta. Ana, Brgy. 894 along Sta. Ana Road. The station is located at the center island of road beside the streetlight and 30 m from Petron Gas Station. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-613, 2013, NAMRIA"".",Edil,76892,14.58725,121.020638888889,07/04/2022 2:23:31 PM,0.040841,4 CM,121 1 14.30,14 35 14.10,0,,,0,
,MM-614,0,NCR,"NCR - MANILA, FIRST DISTRICT",SANTA ANA,BARANGAY 889,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,2.2849,0,01/03/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-614 is in the Province of Metro Manila, City of Manila, District of Sta. Ana, Brgy. 889, Zone 98 along Old Panaderos and New Panaderos Roads. The station is located at the top of a concrete sidewalk beside Maynilad Control Box and 1.20 m from the Meralco post and 8 m from Sea Oil Gas Station. It is also 17 m from the welcome monument of Barangay 889 Zone 98 and 18 meters from fence of the church. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-607, 2013, NAMRIA"".",Edil,76893,14.5828055555556,121.013333333333,07/04/2022 2:23:37 PM,0.037468,4 CM,121 0 48.00,14 34 58.10,0,,,0,
,MM-615,0,NCR,"NCR - MANILA, FIRST DISTRICT",PACO,BARANGAY 812,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,2.7291,0,01/03/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-615 is in the Province of Metro Manila, City of Manila, District of Paco, Brgy. 812 zone 88 along Pedro Gil II Bridge at Sta. 3+750, 2.30 m from the edge of the bridge and 7 m from the road centerline. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-615, 2013, NAMRIA"".",Edil,76894,14.5793333333333,121.00425,07/04/2022 2:23:43 PM,0.033542,3 CM,121 0 15.30,14 34 45.60,0,,,0,
,MM-616,0,NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,5.7215,0,01/03/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-616 is in the Province of Metro Manila, City of Mandaluyong, Brgy. Libis along Shaw Blvd. The station on the top of a concrete sidewalk beside the PLDT Box, 30 cm from the edge of the sidewalk and 40 cm from the PLDT box. It is also 2.20 m from Globe Telecom Post. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-616, 2013, NAMRIA"".",Edil,76895,14.5897777777778,121.034722222222,07/05/2022 10:10:39 AM,0.018661,2 CM,121 2 5.00,14 35 23.20,0,,,0,
,MM-617,0,NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,27.3451,0,01/06/2014,1,,,2,01/08/2016,1,5,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-617 is in the Province of Metro Manila, City of Mandaluyong, Brgy. Bisan along Shaw Boulevard. The station is located at the top of a concrete sidewalk beside the PLDT Box post, 40 cm from the PLDT Box and 5 m from the road centerline. It is also 2.40 m from the Globe Telecom post, 50 m from Union Bank and 8 m from the lamp post. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-617, 2013, NAMRIA"". Reported as Lost by Vertical Section Sep 2022",TIM,76896,14.5876388888889,121.045444444444,09/07/2022 3:49:17 PM,0.016032,2 CM,121 2 43.60,14 35 15.50,0,,,1,
,MM-618,0,NCR,"NCR - MANILA, FIRST DISTRICT",SANTA ANA,BARANGAY 782,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,2.3698,0,01/06/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-618 is in the Province of Metro Manila, City of Manila, District of Sta. Ana, Brgy. 782, Zone 85 District V along Tejeron Street. The station is located at the top of a concrete sidewalk beside the PLDT post, 2 m from streetsign and 9 m from the road centerline. It is also 5 m from 7 Eleven convenient store and 2 m from the barangay welcome monument. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-618, 2013, NAMRIA"".",Edil,76897,14.5766388888889,121.011333333333,07/04/2022 2:23:54 PM,0.033154,3 CM,121 0 40.80,14 34 35.90,0,,,0,
,MM-504,0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,TANDANG SORA,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,33.1724,0,01/06/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-504 is in the Province of Metro Manila, City of Quezon, Brgy. Tandang Sora along Tandang Sora Avenue. The station is Located on the top of a concrete sidewalk beside the streetsign concrete foundation and an electric post near Hilda Vill entrance gate. It is also 5.50 meters from the centerline of Tandang Sora Avenue. Mark is the head of a 4 in. copper nail set flush on a 15 cm. x 15 cm. cement putty with inscriptions ''MM-504,2013, NAMRIA''.",Melchor Degollado Jr,76898,14.6786111111111,121.027444444444,05/12/2022 1:48:40 PM,0.012839,1 CM,121 1 38.80,14 40 43.00,0,,,0,
,MM-619 (MMA-3435),0,NCR,NCR - FOURTH DISTRICT,CITY OF MAKATI,OLYMPIA,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,2.9519,0,01/06/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-619 (MMA-3435) is in the Province of Metro Manila, City of Makati, Brgy. Olympia along J. P. Rizal Street. The station is located at the top of the concrete sidewalk, 50 cm from the streetsign and 2 m from the Globe Telecom post. It is also 7 m from J.P. Rizal St. centerline, 4 m from centerline of South Avenue and 20 m Sabala Construction Supply. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MMA-3435, 2011, LMS-NCR"".",Edil,76899,14.5711388888889,121.018944444444,06/29/2022 10:47:01 AM,0.029277,3 CM,121 1 8.20,14 34 16.10,0,,,0,
,MM-620,0,NCR,NCR - FOURTH DISTRICT,CITY OF MAKATI,POBLACION,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,3.6335,0,01/06/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-620 is in the Province of Metro Manila, City of Makati, Brgy. Poblacion along J.P. Rizal Street. The station is located at the top of a concrete pavement, 10 cm front of the PLDT Box and 3 m from Stall 0838. It is also 8 m from the road centerline International Manpower Services Incorporated. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-620, 2013, NAMRIA"".",Edil,76900,14.5685,121.028083333333,06/29/2022 10:47:15 AM,0.030493,3 CM,121 1 41.10,14 34 6.60,0,,,0,
,MM-622,0,NCR,NCR - FOURTH DISTRICT,CITY OF MAKATI,SAN ANTONIO,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,4.1888,0,01/06/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-622 is in the Province of Metro Manila, City of Makati, Brgy. San Antonio along Ayala Avenue. The station is located on the top of a concrete sidewalk beside the Meralco galvanized electric post and 1 m from the edge of the sidewalk. It is also 1.20 m from the lamp post, 2 m from the nearest electric post and 25 m from Makati City Fire Station. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-622, 2013, NAMRIA"".",Edil,76901,14.5621944444444,121.015277777778,06/29/2022 10:47:25 AM,0.023824,2 CM,121 0 55.00,14 33 43.90,0,,,0,
,MM-505,0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,TANDANG SORA,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,39.5429,0,01/06/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-505 is in the Province of Metro Manila, City of Quezon, Brgy. Tandang Sora along Dona Sotera Street. The station is Located on the top of a concrete sidewalk beside the Plantbox and the CHB wall with Pilarville Subdivision sign and 4.50 meters from the centerline of Dona Sotera St. It is also fronting Zealth Builders. Mark is the head of a 4 in. copper nail set flush on a 15 cm. x 15 cm. cement putty with inscriptions ''MM-505,2013, NAMRIA''.",Melchor Degollado Jr,76902,14.6764722222222,121.037138888889,05/12/2022 1:48:46 PM,0.018078,2 CM,121 2 13.70,14 40 35.30,0,,,0,
,MM-623,0,NCR,NCR - FOURTH DISTRICT,CITY OF MAKATI,BEL-AIR,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,8.6483,0,01/06/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-623 is in the Province of Metro Manila, City of Makati, Brgy. Bel-Air along Ayala Avenue. The stationis located at the top of a concrete island, 10 cm from the traffic light post and 50 cm from the edge of the island. It is also 20 m from the lamp post. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-623, 2013, NAMRIA"".",Edil,76903,14.5546666666667,121.024361111111,06/29/2022 10:47:32 AM,0.014312,1 CM,121 1 27.70,14 33 16.80,0,,,0,
,MM-624,0,NCR,NCR - FOURTH DISTRICT,CITY OF MAKATI,FORBES PARK,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,24.6932,0,01/06/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-624 is in the Province of Metro Manila, City of Makati, Brgy. North Forbes Park along Mc Kinley road. The station is located at the top of a concrete pavement, 2 cm from the PLDT steel post and 50 cm from the PLDT box MKT 157. It is also 7 m from the road centerline and 30 m from Samrah gate. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-624, 2013, NAMRIA"".",Edil,76904,14.5472777777778,121.036694444444,06/29/2022 10:47:41 AM,0.012896,1 CM,121 2 12.10,14 32 50.20,0,,,0,
,MM-625,0,NCR,NCR - FOURTH DISTRICT,CITY OF MAKATI,FORBES PARK,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,37.4807,0,01/06/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-625 is in the Province of Metro Manila, City of Makati, Brgy. North Forbes Park along Mc Kinley road. The station is located on the top of a concrete sidewalk, 20 cm from the PLDT box MKT 685 and 80 cm from the edge of the sidewalk. It is also 1.10 m from the Meralco Post. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-625, 2013, NAMRIA"".",Edil,76905,14.545,121.044805555556,06/29/2022 10:47:47 AM,0.014137,1 CM,121 2 41.30,14 32 42.00,0,,,0,
,MM-506,0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,TANDANG SORA,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,45.56,0,01/06/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-506 is in the Province of Metro Manila, City of Quezon, Brgy. Tandang Sora along San MiguelStreet. The station is Located on the top of a concrete sidewalk beside PLDT concrete post and 4 meters from the corner of PNB Bank building. It is also fronting Robinson's Supermarket. Mark is the head of a 4 in. copper nail set flush on a 15 cm. x 15 cm. cement putty with inscriptions ''MM-506,2013, NAMRIA''.",Melchor Degollado Jr,76906,14.6754444444444,121.045555555556,05/12/2022 1:48:55 PM,0.019325,2 CM,121 2 44.00,14 40 31.60,0,,,0,
,MM-626,0,NCR,NCR - FOURTH DISTRICT,CITY OF MAKATI,PALANAN,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,2.2211,0,01/06/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-626 is in the Province of Metro Manila, City of Makati, Brgy. Palanan along Gil Puyat Avenue corner Osmeña Highway. The station is located at the top of a concrete light. It is also 1.60 m from Barrio Palanan welcome monument. Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-626, 2013, NAMRIA"".",Edil,76907,14.5577777777778,121.007027777778,06/29/2022 10:47:59 AM,0.029058,3 CM,121 0 25.30,14 33 28.00,0,,,0,
,MM-507,0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,CULIAT,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,48.1382,0,01/06/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-507 is in the Province of Metro Manila, City of Quezon, Brgy. Culiat along Allan Bean Street. The station is located at the top of a concrete sidewalk beside Bayantel telephone box and 4.80 meters from Dona Faustina welcome arch. It is also 4 meters from the centerline of Allan Bean St. Mark is the head of a 4 in. copper nail set flush on a 15 cm. x 15 cm. cement putty with inscriptions ''MM-507, 2012, NAMRIA''.",Melchor Degollado Jr,76908,14.6668055555556,121.053083333333,05/12/2022 1:49:03 PM,0.017994,2 CM,121 3 11.10,14 40 0.50,0,,,0,
,MM-508,0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,CULIAT,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,61.7376,0,01/06/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-508 is in the Province of Metro Manila, City of Quezon, Brgy. Culiat along T.M. Kalaw Street. The station is located the top of a concrete foundation of PLDT telephone box and 30 meters from the guard house of Tierra Pura Subdivision. Mark is the head of a 4 in. copper nail set flushed on a 15 cm. x 15 cm. cement putty with inscriptions ''MM-508, 2013, NAMRIA''. .",Melchor Degollado Jr,76909,14.6665277777778,121.062277777778,05/12/2022 1:49:10 PM,0.013058,1 CM,121 3 44.20,14 39 59.50,0,,,0,
,MM-509,0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,OLD BALARA,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,65.2203,0,01/06/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-509 is in the Province of Metro Manila, City of Quezon, Brgy. Old Balara along Luzon Avenue. The station is located on the top of a concrete pavement beside the concrete post of North Susana Executive Village gate and 5 meters from Fil Oil Gas Station. Mark is the head of a 4 in. copper nail set flush on a 15 cm. x 15 cm. cement putty with inscriptions ''MM-509, 2013, NAMRIA''.",Melchor Degollado Jr,76910,14.6753888888889,121.069361111111,05/12/2022 1:49:17 PM,0.015172,2 CM,121 4 9.70,14 40 31.40,0,,,0,
,MM-510,0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,HOLY SPIRIT,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,57.1082,0,01/06/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-510 is in the Province of Metro Manila, City of Quezon, Brgy. Holy Spirit along Mapayapa Village . The station is located at the top of a concrete pavement beside a concrete electric post fronting Villa Beatriz Pharmacy and Wave Dot Net. It is also 40 meters From Mapayapa Village I and Village II entrance gate. Mark is the head of a 4 in. copper nail set flush on a 15 cm. x 15 cm. cement putty with inscriptions ''MM-510, 2013, NAMRIA''.",Melchor Degollado Jr,76912,14.6864444444444,121.069916666667,05/12/2022 1:49:39 PM,0.017755,2 CM,121 4 11.70,14 41 11.20,0,,,0,
,MM-511,0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,HOLY SPIRIT,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,68.9365,0,01/06/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-511 is in the Province of Metro Manila, City of Quezon, Brgy. Holy Spirit along Holy Spirit Drive . The station is located at the top of a concrete foundation of Maynilad control box fronting BDO and Metropole Laundry and Dry Cleaner and 15 meters from Ruby House Restaurant and Posh and Glam Boutique Saloon. It is also 30 meters from BF Quezon City Village. Mark is the head of a 4 in. copper nail set flush on a 15 cm. x 15 cm. cement putty with inscriptions ''MM-511 , 2013, NAMRIA''.",Melchor Degollado Jr,76913,14.6858333333333,121.077027777778,05/12/2022 1:49:54 PM,0.015784,2 CM,121 4 37.30,14 41 9.00,0,,,0,
,MM-512,0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,BATASAN HILLS,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,94.0616,0,01/06/2014,1,,,2,01/08/2016,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-512 MM-512 is in the Province of Metro Manila, City of Quezon, Brgy. Batasan along San Mateo Road . The station is located at the top of a center island of the road going to San Mateo and Timberland Heights Fairview along Batasan Road. It is also fronting Batasan Building and 150 meters From Batasan National High School. Mark is the head of a 4 in. copper nail set flush on a 15 cm. x 15 cm. cement putty with inscriptions ''MM-512 , 2013, NAMRIA''.",Melchor Degollado Jr,76914,14.6913055555556,121.096138888889,05/12/2022 1:50:01 PM,0.015905,2 CM,121 5 46.10,14 41 28.70,0,,,0,
