station_id,station_name,region,province,city,barangay,date_last_updated,island_group,latitude_degrees,latitude_minutes,latitude_seconds,longitude_degrees,longitude_minutes,longitude_seconds,utm_northing,utm_easting,utm_zone,horizontal_date_entry,horizontal_datum,horizontal_reference,horizontal_authority,horizontal_order,date_established,date_est_month,date_est_year,date_est_day,horizontal_date_computed,horizontal_fix,ellipsoidal_height,mark_status,mark_type,mark_const,authority,wgs84_north_degrees,wgs84_north_minutes,wgs84_north_seconds,wgs84_east_degrees,wgs84_east_minutes,wgs84_east_seconds,latitude,longitude,ellipz,description,encoder,status,IsAdopted,AdoptedBy,dateUpdated,utm_x,utm_y,utm_zone_alt,utm_x_wgs84,utm_y_wgs84,utm_zone_wgs84,accuracy_class,error_ellipse,height_error,itrf_lat_dd,itrf_lat_mm,itrf_lat_ss,itrf_lon_dd,itrf_lon_mm,itrf_lon_ss,itrf_ell_hgt,itrf_ell_err,itrf_hgt_err,latitude_decimal,longitude_decimal
,MMA-3417 REOBS 2017.42,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,UPPER BICUTAN,11/30/1999,LUZON,14,29,54.40646,121,2,56.62887,1603316.23,505288.716,3.0,06/08/2017,0,PRS92,,1,11/30/1999,0,0,0,08/22/2017,8,23.63217,1,18,10,NAMRIA,121,3,1.5313,14,29,49.01637,14.4969489916667,121.050425361111,67.581,"MMA-3417 The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3417 2011 ; LMS-NCR"". This is located along A. Bonifacio Avenue corner Mindanao Avenue. From East Service Road DBP Avenue to FTI Ave. turn right at Cucumber Road, then turn right again to A. Bonifacio St. straight ahead to Lapu-Lapu St. on the right side of the road near fire hdyrant, the GCP of LMS-NCR-MMA-3417 is located.",Aila Leana Sampana,0,0,,01/29/2021 9:54:11 AM,289740.316,1603650.918,51,289888.4958,1603582.63016,51,2.0,0.02,0.05,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.498446238888889,121.04906357499999
,MMA-3417 REOBS 2020.99,NCR,NCR - FOURTH DISTRICT,CITY OF PARAÑAQUE,MOONWALK,11/01/2020,LUZON,14,29,54.4059,121,2,56.6292,1603316.212,505288.726,3.0,02/09/2021,0,,RASA,1,11/30/1999,0,2011,0,01/07/2021,0,23.75617,1,23,10,NAMRIA,121,3,1.5315,14,29,49.01623,14.4969489527778,121.050425416667,67.701,"The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3417 2011 ; LMS-NCR"". From East Service Road DBP Avenue to FTI Ave. turn right at Cucumber Road, then turn right again to A. Bonifacio St. straight ahead to Lapu-Lapu St. on the right side of the road near fire hdyrant, the GCP of LMS-NCR-MMA-3417 is located. It is located along A. Bonifacio Avenue corner Mindanao Avenue, in front of Upper Bicutan Barangay Hall.",TIM,0,0,,10/26/2022 2:58:34 PM,289740.326,1603650.9,51,289888.50553,1603582.61286,51,1.0,0.01,0.03,14,29,49.17525,121,3,1.50253,66.082,0.0111,0.0264,14.498446083333333,121.04906366666667
,MMA-3418,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,UPPER BICUTAN,11/30/1999,LUZON,14,29,52.6393,121,2,46.91962,1603261.862,504998.007,3.0,01/23/2014,0,PRS92,DENR-NCR,3,11/30/1999,0,0,0,11/30/1999,8,34.606,1,18,10,NAMRIA,121,2,51.82206,14,29,47.24913,14.4964580916667,121.04772835,78.55,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3418 2011 ; LMS-NCR"". This is located along Raja Sumakwel St. ACCESS: From East Service Road DBP Ave. to FTI Ave. turn right at Cucumber Road, then turn right again to A. Bonifacio St. straight ahead to Lapu-Lapu turn left to Lapu-Lapu St. corner Raja Sumakwel, where the GCP of LMS-NCR-MMA-3418 is located.",TIM,1,1,34.742M EGM2008,08/29/2023 12:50:14 PM,289449.086,1603599.083,51,289597.2683,1603530.78839,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.49795536111111,121.04636656111111
,MMA-3419,NCR,NCR - FOURTH DISTRICT,CITY OF PARAÑAQUE,MARCELO GREEN VILLAGE,11/30/1999,LUZON,14,28,38.4099,121,2,36.82195,1600980.651,504696.091,3.0,01/23/2014,0,PRS92,DENR-NCR,3,11/30/1999,0,0,0,11/30/1999,8,34.66172,1,18,10,NAMRIA,121,2,41.7262,14,28,33.0243,14.4758400833333,121.044923944444,78.657,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3419 2011 ; LMS-NCR"". This is located along West Service Road. ACCESS: From Bicutan Interchange take West Service, before arriving to Marcelo Ave., in front of 711 Mini shop beside a green marker, where the GCP of LMS-NCR-MMA-3419 is located.",Jay Cepe,1,1,34.856M EGM2008,05/20/2021 8:50:29 AM,289127.189,1601320.143,51,289275.44326,1601251.85825,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.477336083333334,121.04356165277778
,MMA-3419 REOBS 2020.99,NCR,NCR - FOURTH DISTRICT,CITY OF PARAÑAQUE,MARCELO GREEN VILLAGE,11/01/2020,LUZON,14,28,38.4111,121,2,36.82259,1600980.688,504696.11,3.0,02/09/2021,0,,RASA,1,11/30/1999,0,2011,0,01/07/2021,0,34.47172,1,23,10,NAMRIA,121,2,41.72684,14,28,33.02549,14.4758404138889,121.044924122222,78.467,"From Bicutan Interchange take West Service Road, before arriving to Marcelo Ave., the station is located infront of 7-ELEVEN convenience store beside a green marker. The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3419 2011 ; LMS-NCR"". ",Mara Chua,0,0,,02/09/2021 10:24:09 AM,289127.208,1601320.18,51,289275.46274,1601251.89467,51,1.0,0.0,0.01,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.477336416666667,121.04356183055556
,MMA-3420,NCR,NCR - FOURTH DISTRICT,CITY OF PARAÑAQUE,MARCELO GREEN VILLAGE,11/30/1999,LUZON,14,28,39.78823,121,2,28.13227,1601022.96,504435.867,3.0,01/23/2014,0,PRS92,DENR-NCR,3,11/30/1999,0,0,0,11/30/1999,8,30.765,1,18,10,NAMRIA,121,2,33.03647,14,28,34.40235,14.476222875,121.042510130556,74.754,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3420 2011 ; LMS-NCR"". This is located along West Service Road. ACCESS: From Bicutan Interchange take West Service, turn right to Marcelo Ave., straight ahead, on the left side of the road before reaching the Hemlock St. with house number 7191, where the GCP of LMS-NCR-MMA-3420 is located.",Dexter Alamar,1,0,,06/24/2024 11:49:16 AM,288867.292,1601364.732,51,289015.54718,1601296.43873,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.477718952777778,121.04114785277777
,MMA-3421,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,WESTERN BICUTAN,11/30/1999,LUZON,14,30,32.21631,121,2,20.65281,1604477.963,504211.303,3.0,01/23/2014,0,PRS92,DENR-NCR,3,11/30/1999,0,0,0,11/30/1999,8,30.133,1,18,10,NAMRIA,121,2,25.55435,14,30,26.82296,14.5074508222222,121.040431763889,74.028,"STATION MARK:The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3421 2011 ; LMS-NCR"". This is located along Veterans Road. ACCESS:From Bicutan Interchange take East Service Road, turn right to Veterans Road, straight ahead then proceed near FTI Producers Market, on the left side of the road beside Unipack in front of the canteen, where the GCP of LMS-NCR-MMA-3420 is located.",Jay Cepe,1,0,30.296M EGM2008,06/02/2020 4:29:54 PM,288672.891,1604822.262,51,288821.04365,1604753.93195,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.508948975,121.039070225
,MMA-3422,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,WESTERN BICUTAN,11/30/1999,LUZON,14,30,35.68037,121,2,28.17526,1604584.457,504436.514,3.0,01/23/2014,0,PRS92,DENR-NCR,3,11/30/1999,0,0,0,11/30/1999,8,31.835,1,18,10,NAMRIA,121,2,33.07674,14,30,30.28697,14.5084130472222,121.042521316667,75.732,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3422 2011 ; LMS-NCR"". This is located along Veterans Road. ACCESS: From Bicutan Interchange take East Service Road, turn right to Veterans Road, straight ahead then proceed near FTI Producers Market, on the right side of the road beside PLDT Box where the GCP of LMS-NCR-MMA-3422 is located.",jay Cepe,1,1,31.981M EGM2008,05/27/2022 1:27:24 PM,288899.071,1604926.803,51,289047.21965,1604858.47879,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.50991121388889,121.04115979444444
,MMA-3423 (LOST),NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,WESTERN BICUTAN,11/30/1999,LUZON,14,31,31.53296,121,3,13.88167,1606301.158,505804.606,3.0,01/23/2014,0,PRS92,DENR-NCR,3,11/30/1999,0,0,0,11/30/1999,8,7.434,5,18,10,NAMRIA,121,3,18.78174,14,31,26.13697,14.5239269361111,121.05521715,51.318,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3423 2011 ; LMS-NCR"". This is located along the service road of C-5. ACCESS: From McArthur Avenue, take the Service Road, straight ahead then proceed near Brgy. Pinagsama Village Phase 2; on the left side of the entrance arch where the GCP of LMS-NCR-MMA-3423 is located. NOTE: Lost on the gound. Reported by Fame Surveying and Mapping Services (May 30, 2023)",Vanessa,1,0,7.451M EGM2008,05/30/2023 2:50:58 PM,290282.41,1606631.799,51,290430.4946,1606563.50148,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.525425822222223,121.05385601944444
,MMA-3424,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,WESTERN BICUTAN,11/30/1999,LUZON,14,31,30.09136,121,3,17.93878,1606256.885,505926.082,3.0,01/23/2014,0,PRS92,DENR-NCR,3,11/30/1999,0,0,0,11/30/1999,8,6.34919,1,18,10,NAMRIA,121,3,22.83892,14,31,24.69554,14.5235265388889,121.056344144444,50.237,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3424 2011 ; LMS-NCR"". This is located infront of Maria Apostoles Parish Church. ACCESS: From McArthur Avenue, take Service Road, straight ahead then proceed near Brgy. Pinagsama Village Phase 2, on the left side of the entrance of the church (Maria Elena ng mga Apostoles) where the GCP of LMS-NCR-MMA-3424 is located.",Vanessa,1,0,6.359M EGM2008,05/30/2023 2:35:37 PM,290403.517,1606586.455,51,290551.6033,1606518.16093,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.525025377777778,121.05498299444444
,MMA-3424 REOBS 2020.99,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,WESTERN BICUTAN,11/01/2020,LUZON,14,31,30.09426,121,2,36.82664,1606256.708,504695.227,3.0,02/09/2021,0,,RASA,1,11/30/1999,0,2011,0,01/07/2021,0,6.29304,1,23,10,NAMRIA,121,2,41.72684,14,31,24.69751,14.5235270861111,121.044924122222,50.153,"From McArthur Avenue, take Service Road, straight ahead then proceed near Brgy. Pinagsama Village Phase 2. The station is located on the left side of the entrance of the church (Maria Elena ng mga Apostoles) . The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3424 2011 ; LMS-NCR"".",Mara Chua,0,0,,02/09/2021 10:26:58 AM,289172.466,1606597.06,51,289320.56272,1606528.72905,51,1.0,0.0,0.01,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.525026183333335,121.04356295555556
,MMA-3425,NCR,NCR - FOURTH DISTRICT,LAS PIÑAS,TALON UNO,11/30/1999,LUZON,14,26,46.47994,120,59,32.98928,1597540.494,499191.042,3.0,01/23/2014,0,PRS92,DENR-NCR,3,11/30/1999,0,0,0,11/30/1999,8,18.191,1,18,10,NAMRIA,120,59,37.89642,14,26,41.09746,14.4447492944444,120.993860116667,62.15,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3425 2011 ; LMS-NCR"". This is located along Alabang Zapote Road corner J. Aguilar Ave. ACCESS: From Alabang, take the Alabang-Zapote Road, straight ahead then proceed to Las Piñas Commercial Complex, on the right side of the road near URC townhomes and fronting Jollibee where the GCP of LMS-NCR-MMA-3425 is located.",Dexter Alamar,1,0,18.733 M EGM2008,08/30/2024 3:35:43 PM,283591.161,1597927.397,51,283739.56504,1597858.976,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.446244427777778,120.99249702222222
,MMA-3425 REOBS 2017.42,NCR,NCR - FOURTH DISTRICT,LAS PIÑAS,TALON UNO,11/30/1999,LUZON,14,26,46.47927,120,59,32.98998,1597540.474,499191.063,3.0,06/08/2017,0,PRS92,,1,11/30/1999,0,0,0,08/22/2017,8,17.80218,1,18,10,NAMRIA,120,59,37.89716,14,26,41.09676,14.4447491,120.993860322222,61.761,"MMA-3425 The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3425 2011 ; LMS-NCR"". This is located along Alabang Zapote Road corner J. Aguilar Ave. From Alabang, take the Alabang-Zapote Road, straight ahead then proceed to Las Piñas Commercial Complex, on the right side of the road near URC townhomes and fronting Jollibee where the GCP of LMS-NCR-MMA-3425 is located.",Aila Leana Sampana,0,0,,01/29/2021 10:14:02 AM,283591.182,1597927.376,51,283739.58702,1597858.95429,51,1.0,0.01,0.04,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.446244241666667,120.99249721666666
,MMA-3425 REOBS 2020.99,NCR,NCR - FOURTH DISTRICT,LAS PIÑAS,TALON UNO,11/01/2020,LUZON,14,26,46.47962,120,59,12.98962,1597540.511,498592.061,3.0,02/09/2021,0,,RASA,1,11/30/1999,0,2011,0,01/07/2021,0,17.90773,1,23,10,NAMRIA,120,59,37.89729,14,26,41.09676,14.4447491,120.993860358333,61.864,"From Alabang, take the Alabang-Zapote Road and proceed to Las Piñas Commercial Complex,. The station is located on the right side of the road near URC townhomes fronting Jollibee. The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3425 2011 LMS-NCR"".",TIM,0,0,,10/26/2022 3:43:11 PM,282992.065,1597932.633,51,283140.47554,1597864.19331,51,1.0,0.01,0.02,14,26,41.2557,120,59,37.86823,60.241,0.0101,0.0233,14.446244338888889,120.98694156111111
,MMA-3426,NCR,NCR - FOURTH DISTRICT,LAS PIÑAS,TALON UNO,11/30/1999,Luzon,14,26,56.39227,120,59,33.59608,1597845.109,499209.225,3.0,01/23/2014,0,PRS92,DENR-NCR,3,11/30/1999,0,0,0,11/30/1999,8,17.092,1,18,10,NAMRIA,120,59,38.503,14,26,51.00916,14.4475025444444,120.994028611111,61.043,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3426 2011 ; LMS-NCR"". This is located along J. Aguilar Avenue. ACCESS: From Alabang, take the Alabang-Zapote road, straight ahead then proceed to Las Piñas Commercial Complex, on the left side of the road near a grotto and Metropolitan Classic Homes where the GCP of LMS-NCR-MMA-3426 is located.",Aries C. Zafra,1,0,,01/23/2014,283612.002,1598231.912,51,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.448997852777778,120.99266557777779
,MMA-3427,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,FORT BONIFACIO,11/30/1999,LUZON,14,31,54.88876,121,2,23.51544,1607018.601,504296.57,3.0,01/23/2014,0,PRS92,DENR-NCR,3,11/30/1999,0,0,0,11/30/1999,8,24.255,1,18,10,NAMRIA,121,2,28.41502,14,31,49.49014,14.5304139277778,121.041226394444,68.087,"The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3427 2011 ; LMS-NCR"". This is located at the center island of Bayani Road. From South Super Hway, take the Lawton Avenue, straight ahead then near NAMRIA turn right to Bayani Road, inside the center island near a post where the GCP of LMS-NCR-MMA-3427 is located.",Aries Zafra,1,1,24.360 M EGM2008,10/13/2021 2:04:41 PM,288780.42,1607362.569,51,288928.49581,1607294.22054,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.531913544444444,121.0398654
,MMA-3427A REOBS 2020.99,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,FORT BONIFACIO,11/01/2020,LUZON,14,31,54.90549,121,2,23.50501,1607019.115,504296.258,3.0,02/10/2021,0,,RASA,1,11/30/1999,0,2011,0,01/07/2021,0,23.91066,1,23,10,NAMRIA,121,2,28.40463,14,31,49.50685,14.5304185694444,121.041223508333,67.742,"From South Super Hway, take the Lawton Avenue, straight ahead then near NAMRIA turn right to Bayani Road,. The station is located at the center island of Bayani Road. about 15 m. from shell gasoline station. The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3427-A 2011 ; LMS-NCR"".",Mara Chua,0,0,,02/10/2021 9:33:38 AM,288780.112,1607363.086,51,288928.18912,1607294.73684,51,1.0,0.0,0.01,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.531918191666668,121.03986250277778
,MMA-3428,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,FORT BONIFACIO,11/30/1999,LUZON,14,31,54.86582,121,2,14.15826,1607017.848,504016.435,3.0,01/23/2014,0,PRS92,DENR-NCR,3,11/30/1999,0,0,0,11/30/1999,8,17.538,1,18,10,NAMRIA,121,2,19.05786,14,31,49.46699,14.5304074972222,121.038627183333,61.363,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3428 2011 ; LMS-NCR"". This is located along A. Luna Avenue. ACCESS: From South Super Hway, take Lawton Avenue, straight ahead then near NAMRIA turn right to Bayani Road, turn right again to A. Luna Ave. then on the right side of the road near a concrete fence where the GCP of LMS-NCR-MMA-3427 is located.",Mara Chua,1,0,,10/01/2021 3:55:32 PM,288500.232,1607364.271,51,288648.31035,1607295.91469,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.531907172222223,121.03726618333333
,MMA-3429 (FBDC-1) (LOST),NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,FORT BONIFACIO,11/30/1999,LUZON,14,32,47.03271,121,2,39.36539,1608621.137,504770.776,3.0,01/23/2014,0,PRS92,DENR-NCR,3,11/30/1999,0,0,0,11/30/1999,8,39.776,5,18,10,NAMRIA,121,2,44.2637,14,32,41.63109,14.544897525,121.045628805556,83.577,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3429 2011 ; LMS-NCR"". This is located near the intersection of 5th Avenue and Mc Kinley Rd. ACCESS: From C-5 (Carlos P. Garcia Avenue) turn left to McArthur Avenue; turn left to Mckinley Parkway, then on the intersection of 5th Avenue and McKinley Road on the right side near the Stoplight where the GCP of LMS-NCR-MMA-3429=FBDC 1 is located.",TIM,1,1,39.810 EGM2008,09/02/2020 9:39:00 AM,289268.753,1608961.207,51,289416.77656,1608892.85949,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.546397975,121.04426816388889
,MMA-3430,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,FORT BONIFACIO,11/30/1999,LUZON,14,32,51.50488,121,2,45.86075,1608758.611,504965.194,3.0,01/23/2014,0,PRS92,DENR-NCR,3,11/30/1999,0,0,0,11/30/1999,8,34.74,1,18,10,NAMRIA,121,2,50.75895,14,32,46.10311,14.5461397527778,121.047433041667,78.542,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3430 2011 ; LMS-NCR"". This is located along McKinley Road. ACCESS: From C-5 (Carlos P. Garcia Avenue) turn left to MacArthur Avenue, turn left to McKinley Parkway, then straight ahead to McKinley Road on the tip of the center island where the GCP of LMS-NCR-MMA-3430 is located.",Mary,1,1,,02/10/2025 3:30:16 PM,289464.408,1609096.997,51,289612.42597,1609028.6544,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.547640244444445,121.04607243055555
,MMA-3430 REOBS 2020.99,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,FORT BONIFACIO,11/01/2020,LUZON,14,32,51.50738,121,2,45.85764,1608758.688,504965.1,3.0,02/10/2021,0,,RASA,1,11/30/1999,0,2011,0,01/07/2021,0,34.62223,1,23,10,NAMRIA,121,2,50.75588,14,32,46.10559,14.5461404416667,121.047432188889,78.424,"From C-5 (Carlos P. Garcia Avenue) turn left to MacArthur Avenue, turn left to McKinley Parkway, then straight ahead to McKinley Road on the tip of the center island where the GCP of LMS-NCR-MMA-3430 is located. The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3430 2011 ; LMS-NCR"".",Mara Chua,0,0,,02/10/2021 9:48:51 AM,289464.316,1609097.075,51,289612.33471,1609028.73142,51,1.0,0.0,0.01,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.54764093888889,121.04607156666667
,MMA-3431 (LOST),NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,USUSAN,11/30/1999,LUZON,14,32,7.8861,121,3,58.69641,1607418.688,507145.986,3.0,01/23/2014,0,PRS92,DENR-NCR,3,11/30/1999,0,0,0,11/30/1999,8,5.60142,5,18,10,NAMRIA,121,4,3.5956,14,32,2.48875,14.5340246527778,121.067665444444,49.487,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3431 2011 ; LMS-NCR"". This is located at the corner of M.L. Quezon Ave. and N.P. Cruz St. ACCESS: From C-5 (Carlos P. Garcia Avenue) turn left to Levi Mariano Avenue, turn left Gen. Luna Rd. on the left side of the road fronting St. Ignatius Parish Church where the GCP of LMS-NCR-MMA-3431 is located. NOTE: Lost on the gound. Reported by Fame Surveying and Mapping Services (May 30, 2023)",Vanessa,1,0,,05/30/2023 2:49:42 PM,291633.787,1607737.744,51,291781.82748,1607669.47708,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.535523916666667,121.06630455833333
,MMA-3431 REOBS 2020.99,NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,USUSAN,11/01/2020,LUZON,14,32,7.88846,121,3,58.69327,1607418.76,507145.892,3.0,02/10/2021,0,,RASA,1,11/30/1999,0,2011,0,01/07/2021,0,5.57542,1,23,10,NAMRIA,121,4,3.59246,14,32,2.49111,14.5340253083333,121.067664572222,49.461,"The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3431 2011 ; LMS-NCR"". From C-5 (Carlos P. Garcia Avenue) turn left to Levi Mariano Avenue then turn left Gen. Luna Rd. The station is located on the left side of the road along the sidewalk, fronting St. Ignatius Parish Church , about 40 meters from Usasan Elementary School.",Mara Chua,0,0,,02/10/2021 1:50:43 PM,291633.692,1607737.818,51,291781.73408,1607669.55042,51,1.0,0.0,0.01,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.535524572222222,121.06630368611111
,MMA-3432 (LOST),NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,USUSAN,11/30/1999,LUZON,14,32,5.15804,121,4,3.85893,1607334.896,507300.564,3.0,01/23/2014,0,PRS92,DENR-NCR,3,11/30/1999,0,0,0,11/30/1999,8,5.32977,5,18,10,NAMRIA,121,4,8.75817,14,31,59.76098,14.5332669388889,121.069099491667,49.221,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3432 2011 ; LMS-NCR"". This is located along General Luna Road. ACCESS: From C-5 (Carlos P. Garcia Avenue) turn left to Levi Mariano Avenue, turn left at Gen. Luna Ave., on the right side of the road near the entrance of Ilang-Ilang St. where the GCP of LMS-NCR-MMA-3432 is located. NOTE: Lost on the gound. Reported by Fame Surveying and Mapping Services (May 30, 2023)",Vanessa,1,0,5.220M EGM2008,05/30/2023 2:50:23 PM,291787.652,1607652.586,51,291935.69499,1607584.32376,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.534766122222223,121.06773859166667
,MMA-3433 (LOST),NCR,NCR - FOURTH DISTRICT,LAS PIÑAS,ELIAS ALDANA,11/30/1999,LUZON,14,28,43.93632,120,58,34.42344,1601150.17,497437.396,3.0,01/23/2014,0,PRS92,DENR-NCR,3,11/30/1999,0,0,0,11/30/1999,8,3.716,5,18,10,NAMRIA,120,58,39.3279,14,28,38.54489,14.4773735805556,120.977591083333,47.542,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3433 2011 ; LMS-NCR"". This is located along along Quirino Avenue. ACCESS: From Sucat Road go straight to Kabihasnan Road, turn left to Quirino Avenue, straight ahead is the Bamboo Organ of Las Piñas, St. Joseph Parish Church, proceed again to Quirino Avenue then on the left side of the road near sidewalk (Samson Comp) where the GCP of LMS-NCR-MMA-3433 is located.",TIM,1,0,,09/02/2020 9:39:17 AM,281868.66,1601553.077,51,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.4788712,120.97622873333333
,MMA-3434 (LOST),NCR,NCR - FOURTH DISTRICT,LAS PIÑAS,ELIAS ALDANA,11/30/1999,LUZON,14,28,33.76009,120,58,36.93484,1600837.436,497512.569,3.0,01/23/2014,0,PRS92,DENR-NCR,3,11/30/1999,0,0,0,11/30/1999,8,5.749,5,18,10,NAMRIA,120,58,41.83953,14,28,28.36938,14.47454705,120.978288758333,49.585,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3419 2011 ; LMS-NCR"". This is located along Quirino Avenue. ACCESS: From Sucat Road go straight to Kabihasnan Road, turn left to Quirino Avenue, straight ahead is the Bamboo Organ of Las Piñas, St. Joseph Parish Church then proceed again to Quirino Avenue on the right side of the near the tip of Diego Cera Bridge, where the GCP of LMS-NCR-MMA-3434 is located.",TIM,1,0,,09/02/2020 9:39:34 AM,281941.117,1601239.624,51,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.476044469444444,120.97692634444445
